timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1697739088721,3301,Login,200,,Spike Test  4-19,text,true,,28508,1181,26,50,http://localhost:8081/,1189,0,0
1697739088721,1189,Login-0,302,,Spike Test  4-19,,true,,412,741,26,50,http://localhost:8081/authenticate,1189,0,0
1697739089910,2112,Login-1,200,,Spike Test  4-19,text,true,,28096,440,26,50,http://localhost:8081/,2109,0,0
1697739088938,3163,Login,200,,Endurance Test  3-27,text,true,,28508,1169,7,50,http://localhost:8081/,1083,0,0
1697739088938,1083,Login-0,302,,Endurance Test  3-27,,true,,412,729,7,50,http://localhost:8081/authenticate,1083,0,0
1697739090021,2080,Login-1,200,,Endurance Test  3-27,text,true,,28096,440,7,50,http://localhost:8081/,2077,0,0
1697739088875,3271,Login,200,,Spike Test  4-20,text,true,,28508,1161,26,50,http://localhost:8081/,1116,0,0
1697739088875,1116,Login-0,302,,Spike Test  4-20,,true,,412,721,26,50,http://localhost:8081/authenticate,1116,0,0
1697739089992,2154,Login-1,200,,Spike Test  4-20,text,true,,28096,440,26,50,http://localhost:8081/,2150,0,0
1697739088798,3370,Login,200,,Stress Test  1-49,text,true,,28508,1185,3,50,http://localhost:8081/,1184,0,0
1697739088798,1184,Login-0,302,,Stress Test  1-49,,true,,412,745,3,50,http://localhost:8081/authenticate,1184,0,0
1697739089982,2186,Login-1,200,,Stress Test  1-49,text,true,,28096,440,3,50,http://localhost:8081/,2183,0,0
1697739089133,3174,Register Random User,200,,Spike Test  4-14,text,true,,395,685,27,51,http://localhost:8081/api/users/,3174,0,3
1697739088936,3503,Login,200,,Spike Test  4-18,text,true,,28508,1173,27,51,http://localhost:8081/,1082,0,0
1697739088936,1082,Login-0,302,,Spike Test  4-18,,true,,412,733,27,51,http://localhost:8081/authenticate,1082,0,0
1697739090018,2421,Login-1,200,,Spike Test  4-18,text,true,,28096,440,27,51,http://localhost:8081/,2418,0,0
1697739089042,3454,Login,200,,Spike Test  4-17,text,true,,28508,1157,27,52,http://localhost:8081/,1008,0,0
1697739089042,1008,Login-0,302,,Spike Test  4-17,,true,,412,717,27,52,http://localhost:8081/authenticate,1008,0,0
1697739090051,2445,Login-1,200,,Spike Test  4-17,text,true,,28096,440,27,52,http://localhost:8081/,2439,0,0
1697739089439,3069,Login,200,,Load Test  2-32,text,true,,28508,1173,15,52,http://localhost:8081/,749,0,0
1697739089439,750,Login-0,302,,Load Test  2-32,,true,,412,733,15,52,http://localhost:8081/authenticate,749,0,0
1697739090189,2319,Login-1,200,,Load Test  2-32,text,true,,28096,440,15,52,http://localhost:8081/,2319,0,0
1697739088862,3702,Register Random User,200,,Endurance Test  3-26,text,true,,395,686,7,53,http://localhost:8081/api/users/,3702,0,6
1697739088968,3611,Register Random User,200,,Load Test  2-31,text,true,,395,686,15,53,http://localhost:8081/api/users/,3611,0,2
1697739088758,3910,Register Random User,200,,Spike Test  4-15,text,true,,395,686,28,53,http://localhost:8081/api/users/,3910,0,2
1697739089043,3791,Login,200,,Spike Test  4-21,text,true,,28508,1153,28,54,http://localhost:8081/,985,0,0
1697739089043,985,Login-0,302,,Spike Test  4-21,,true,,412,713,28,54,http://localhost:8081/authenticate,985,0,0
